Year,Elevation,Total,UNK,Older,Yearling
1986,mid,15,3,9,3
1987,mid,19,0,10,9
1988,mid,16,0,10,6
1989,mid,15,0,9,6
1990,mid,17,0,12,5
1991,mid,17,0,13,4
1992,mid,19,0,12,7
1993,mid,15,0,10,5
1994,mid,15,0,12,3
1995,mid,16,0,10,6
1996,mid,10,0,7,1
1997,high,8,0,5,3
1997,low,14,0,1,13
1997,mid,14,0,4,10
1998,high,13,0,5,8
1998,low,12,1,11,0
1998,mid,15,0,10,5
1999,high,12,0,4,8
1999,low,18,0,8,10
1999,mid,23,0,8,15
2000,high,8,0,6,2
2000,low,5,0,1,4
2000,mid,19,0,7,12
2001,high,15,0,7,8
2001,low,11,1,5,5
2001,mid,20,0,11,9
2002,high,18,0,16,2
2002,low,13,0,6,7
2002,mid,15,0,13,2
2003,high,18,0,7,11
2003,low,12,0,5,7
2003,mid,18,1,10,7
2004,high,23,0,11,12
2004,low,7,0,5,2
2004,mid,16,0,7,9
2005,high,18,0,12,6
2005,low,19,0,3,16
2005,mid,20,0,4,16
2006,high,20,0,11,9
2006,low,17,0,7,10
2006,mid,28,0,10,18
2007,high,19,0,11,8
2007,low,9,0,3,6
2007,mid,26,0,9,17
2008,high,12,0,8,4
2008,low,15,0,9,6
2008,mid,14,0,7,7
2009,high,5,0,3,2
2009,low,7,0,1,6
2009,mid,10,0,5,5
2010,high,8,0,7,1
2010,low,9,0,5,4
2010,mid,9,0,6,3
